PC5,ACTIVE,X,Y,LGD2014,LGD2014NAME,WARD2014,WARD2014NAME,DEA2014,DEA2014NAME,AA2008,AA2008NAME,WARD1992,WARD1992NAME,LGD1992,LGD1992NAME,HSCT,HSCTNAME,DZ2021,DZ2021_name,SDZ2021,SDZ2021_name,AA2024,AA2024NAME,SA2011,SOA2001,SOA2001NAME,SOA2001_OLD,SOA2001NAME_OLD,COA2001,SETTLEMENT15,SETTLEMENT15_URBAN_RURAL
0000000,0,0,0,000000000,NA,000000000,NA,000000000,NA,000000000,NA,000000,NA,0000,NA,N/A,N/A,000000000,NA,000000000,NA,000000000,NA,000000000,00000000,NA,00000000,NA,0000000000,00000000000000000000000000000000000,00000
BT100AA,1,331110,370489,N09000003,Belfast,N08000339,Musgrave,N10000301,BALMORAL,N06000003,BELFAST SOUTH,95GG34,MUSGRAVE,95GG,BELFAST,BHSCT,Belfast HSCT,N20001184,Balmoral_B1,N21000274,Balmoral_B,N05000003,Belfast South and Mid Down,N00001346,95GG34S3,Musgrave_3,95GG34S3,Musgrave_3,95GG340001,BELFAST CITY,URBAN
BT100AB,1,330946,370388,N09000003,Belfast,N08000339,Musgrave,N10000301,BALMORAL,N06000003,BELFAST SOUTH,95GG34,MUSGRAVE,95GG,BELFAST,BHSCT,Belfast HSCT,N20001194,Balmoral_C2,N21000275,Balmoral_C,N05000003,Belfast South and Mid Down,N00001346,95GG34S3,Musgrave_3,95GG34S3,Musgrave_3,95GG340001,BELFAST CITY,URBAN
BT100AD,1,330830,370310,N09000003,Belfast,N08000339,Musgrave,N10000301,BALMORAL,N06000003,BELFAST SOUTH,95GG34,MUSGRAVE,95GG,BELFAST,BHSCT,Belfast HSCT,N20001194,Balmoral_C2,N21000275,Balmoral_C,N05000003,Belfast South and Mid Down,N00001346,95GG34S3,Musgrave_3,95GG34S3,Musgrave_3,95GG340007,BELFAST CITY,URBAN
BT100AE,1,330957,370179,N09000003,Belfast,N08000339,Musgrave,N10000301,BALMORAL,N06000003,BELFAST SOUTH,95GG34,MUSGRAVE,95GG,BELFAST,BHSCT,Belfast HSCT,N20001194,Balmoral_C2,N21000275,Balmoral_C,N05000003,Belfast South and Mid Down,N00001346,95GG34S3,Musgrave_3,95GG34S3,Musgrave_3,95GG340006,BELFAST CITY,URBAN
BT100AF,1,331222,370532,N09000003,Belfast,N08000339,Musgrave,N10000301,BALMORAL,N06000003,BELFAST SOUTH,95GG34,MUSGRAVE,95GG,BELFAST,BHSCT,Belfast HSCT,N20001184,Balmoral_B1,N21000274,Balmoral_B,N05000003,Belfast South and Mid Down,N00001346,95GG34S3,Musgrave_3,95GG34S3,Musgrave_3,95GG340001,BELFAST CITY,URBAN
BT100AG,1,331031,369986,N09000003,Belfast,N08000339,Musgrave,N10000301,BALMORAL,N06000003,BELFAST SOUTH,95GG34,MUSGRAVE,95GG,BELFAST,BHSCT,Belfast HSCT,N20001201,Balmoral_C3,N21000275,Balmoral_C,N05000003,Belfast South and Mid Down,N00001346,95GG34S3,Musgrave_3,95GG34S3,Musgrave_3,95GG340006,BELFAST CITY,URBAN
BT100AH,1,330966,370135,N09000003,Belfast,N08000339,Musgrave,N10000301,BALMORAL,N06000003,BELFAST SOUTH,95GG34,MUSGRAVE,95GG,BELFAST,BHSCT,Belfast HSCT,N20001194,Balmoral_C2,N21000275,Balmoral_C,N05000003,Belfast South and Mid Down,N00001346,95GG34S3,Musgrave_3,95GG34S3,Musgrave_3,95GG340006,BELFAST CITY,URBAN
BT100AJ,1,330802,370210,N09000003,Belfast,N08000339,Musgrave,N10000301,BALMORAL,N06000003,BELFAST SOUTH,95GG34,MUSGRAVE,95GG,BELFAST,BHSCT,Belfast HSCT,N20001195,Balmoral_D3,N21000276,Balmoral_D,N05000003,Belfast South and Mid Down,N00001346,95GG34S3,Musgrave_3,95GG34S3,Musgrave_3,95GG340007,BELFAST CITY,URBAN
BT100AL,1,330897,370117,N09000003,Belfast,N08000339,Musgrave,N10000301,BALMORAL,N06000003,BELFAST SOUTH,95GG34,MUSGRAVE,95GG,BELFAST,BHSCT,Belfast HSCT,N20001194,Balmoral_C2,N21000275,Balmoral_C,N05000003,Belfast South and Mid Down,N00001346,95GG34S3,Musgrave_3,95GG34S3,Musgrave_3,95GG340007,BELFAST CITY,URBAN
