"LGD2014","LGD2014NAME","DZ2021","DZ2021_name","SDZ2021","SDZ2021_name"
"N09000003","Belfast","N20001184","Balmoral_B1","N21000274","Balmoral_B"
"N09000003","Belfast","N20001194","Balmoral_C2","N21000275","Balmoral_C"
"N09000003","Belfast","N20001201","Balmoral_C3","N21000275","Balmoral_C"
"N09000003","Belfast","N20001195","Balmoral_D3","N21000276","Balmoral_D"
"N09000003","Belfast","N20001211","Balmoral_J2","N21000281","Balmoral_J"
"N09000003","Belfast","N20001210","Balmoral_G4","N21000279","Balmoral_G"
"N09000003","Belfast","N20001213","Balmoral_G5","N21000279","Balmoral_G"
"N09000003","Belfast","N20001258","Collin_H1","N21000293","Collin_H"
"N09000003","Belfast","N20001230","Balmoral_L3","N21000283","Balmoral_L"
"N09000003","Belfast","N20001205","Balmoral_G2","N21000279","Balmoral_G"
"N09000003","Belfast","N20001264","Collin_H2","N21000293","Collin_H"
"N09000003","Belfast","N20001202","Balmoral_H1","N21000280","Balmoral_H"
"N09000003","Belfast","N20001209","Balmoral_H3","N21000280","Balmoral_H"
"N09000003","Belfast","N20001215","Balmoral_N1","N21000284","Balmoral_N"
"N09000003","Belfast","N20001221","Balmoral_N3","N21000284","Balmoral_N"
"N09000003","Belfast","N20001219","Balmoral_J5","N21000281","Balmoral_J"
"N09000003","Belfast","N20001203","Balmoral_G1","N21000279","Balmoral_G"
"N09000003","Belfast","N20001206","Balmoral_G3","N21000279","Balmoral_G"
"N09000003","Belfast","N20001216","Balmoral_J4","N21000281","Balmoral_J"
"N09000003","Belfast","N20001192","Balmoral_D2","N21000276","Balmoral_D"
"N09000003","Belfast","N20001220","Balmoral_N2","N21000284","Balmoral_N"
"N09000003","Belfast","N20001197","Balmoral_D4","N21000276","Balmoral_D"
"N09000003","Belfast","N20001190","Balmoral_D1","N21000276","Balmoral_D"
"N09000003","Belfast","N20001233","Balmoral_N4","N21000284","Balmoral_N"
"N09000003","Belfast","N20001204","Balmoral_H2","N21000280","Balmoral_H"
"N09000003","Belfast","N20001212","Balmoral_H4","N21000280","Balmoral_H"
"N09000003","Belfast","N20001260","Collin_J2","N21000294","Collin_J"
"N09000003","Belfast","N20001253","Collin_J1","N21000294","Collin_J"
"N09000003","Belfast","N20001251","Collin_D4","N21000289","Collin_D"
"N09000003","Belfast","N20001330","Black_Mountain_G3","N21000307","Black_Mountain_G"
"N09000003","Belfast","N20001327","Black_Mountain_G1","N21000307","Black_Mountain_G"
"N09000003","Belfast","N20001329","Black_Mountain_G2","N21000307","Black_Mountain_G"
"N09000003","Belfast","N20001331","Black_Mountain_G4","N21000307","Black_Mountain_G"
"N09000003","Belfast","N20001358","Black_Mountain_P2","N21000313","Black_Mountain_P"
"N09000003","Belfast","N20001346","Black_Mountain_P1","N21000313","Black_Mountain_P"
"N09000003","Belfast","N20001333","Black_Mountain_G5","N21000307","Black_Mountain_G"
"N09000003","Belfast","N20001334","Black_Mountain_G6","N21000307","Black_Mountain_G"
"N09000003","Belfast","N20001328","Black_Mountain_H2","N21000308","Black_Mountain_H"
"N09000003","Belfast","N20001337","Black_Mountain_H3","N21000308","Black_Mountain_H"
"N09000003","Belfast","N20001332","Black_Mountain_K1","N21000310","Black_Mountain_K"
